date;sentiment_score_mean_day
2007-11-29;0.10356455990694068
2007-11-30;0.08844748657881894
2007-12-01;-0.007009915611814344
2007-12-02;0.012057918552036199
2007-12-03;0.10727528134254688
2007-12-04;0.1062422295335785
2007-12-05;0.10570087345547508
2007-12-06;0.09590240816326531
2007-12-07;0.08392188626907074
2007-12-08;-0.016500224215246637
2007-12-09;-0.02902745098039216
2007-12-10;0.10973673386275708
2007-12-11;0.10331938144329897
2007-12-12;0.09983593587341245
2007-12-13;0.09816057435897436
2007-12-14;0.08809802289281998
2007-12-15;-0.015230405405405404
2007-12-16;-0.016463043478260872
2007-12-17;0.10678634093376764
2007-12-18;0.11017297570850203
2007-12-19;0.10770748243075651
2007-12-20;0.10363177180928586
2007-12-21;0.09754021067094115
2007-12-22;-0.051032085561497326
2007-12-23;0.019978323699421964
2007-12-24;0.09494453038674033
2007-12-25;-0.021578497409326425
2007-12-26;0.030270663033605816
2007-12-27;0.06427415908191532
2007-12-28;0.08100959425190195
2007-12-29;-0.006630706521739132
2007-12-30;-0.012368333333333334
2007-12-31;0.08526082317073172
2008-01-01;-0.06069205955334987
2008-01-02;0.09103148971650916
2008-01-03;0.09248706212050443
2008-01-04;0.08950094517958412
2008-01-05;-0.0022073394495412844
2008-01-06;0.03711003937007874
2008-01-07;0.10112517123287672
2008-01-08;0.10522315476190476
2008-01-09;0.1013736957957297
2008-01-10;0.08805889505119455
2008-01-11;0.0834977653631285
2008-01-12;-0.033958548009367685
2008-01-13;-0.018254909090909092
2008-01-14;0.1123487403706017
2008-01-15;0.089834924330617
2008-01-16;0.08534069354501775
2008-01-17;0.0838579515373651
2008-01-18;0.07856803133687137
2008-01-19;-0.039925303643724694
2008-01-20;-0.021540969162995596
2008-01-21;0.08862935474098757
2008-01-22;0.10157454545454545
2008-01-23;0.10002678952473328
2008-01-24;0.09447434665641814
2008-01-25;0.08448714468629961
2008-01-26;-0.01996577946768061
2008-01-27;-0.009420044052863435
2008-01-28;0.10513895077982581
2008-01-29;0.11435699689837621
2008-01-30;0.09868886324293133
2008-01-31;0.09647417162276975
2008-02-01;0.08480711585501446
2008-02-02;-0.04666417624521073
2008-02-03;-0.04039776785714285
2008-02-04;0.11185015908665544
2008-02-05;0.10043794466403162
2008-02-06;0.09696528405740122
2008-02-07;0.09923257002271008
2008-02-08;0.09170724191063175
2008-02-09;-0.04678377823408624
2008-02-10;0.00021014492753623217
2008-02-11;0.11553978073610023
2008-02-12;0.11668420045906656
2008-02-13;0.1124670495049505
2008-02-14;0.106615210932858
2008-02-15;0.09433290290538862
2008-02-16;-0.05516456211812627
2008-02-17;-0.0478637707948244
2008-02-18;0.10022074716477651
2008-02-19;0.11285968438850273
2008-02-20;0.11443520881670532
2008-02-21;0.09998302904564316
2008-02-22;0.0936785992217899
2008-02-23;-0.03580392156862745
2008-02-24;0.010738229755178907
2008-02-25;0.11325027692307692
2008-02-26;0.11353363329583802
2008-02-27;0.10281089641434261
2008-02-28;0.09125525757283427
2008-02-29;0.0756187665198238
2008-03-01;-0.06086095041322314
2008-03-02;-0.04540818181818182
2008-03-03;0.09335062846580407
2008-03-04;0.10046797310278578
2008-03-05;0.10801622011541633
2008-03-06;0.09042471608507123
2008-03-07;0.07918166926677069
2008-03-08;-0.02720792540792541
2008-03-09;-0.004061555075593953
2008-03-10;0.0983969604243166
2008-03-11;0.10184165369649806
2008-03-12;0.09326664542171234
2008-03-13;0.08886869584536769
2008-03-14;0.0802297970716671
2008-03-15;-0.04948017621145375
2008-03-16;-0.02318120950323974
2008-03-17;0.09848620547663167
2008-03-18;0.095756135822081
2008-03-19;0.08807897534013606
2008-03-20;0.0902225
2008-03-21;0.04390442404006678
2008-03-22;-0.02069724770642202
2008-03-23;-0.006933233532934133
2008-03-24;0.07807554671968191
2008-03-25;0.10993212649945473
2008-03-26;0.08931293312734495
2008-03-27;0.09482543021032505
2008-03-28;0.08247783827933569
2008-03-29;-0.07029882352941176
2008-03-30;-0.005579515418502203
2008-03-31;0.0965073187895848
2008-04-01;0.10592407277816655
2008-04-02;0.11406944609886838
2008-04-03;0.10582928245541269
2008-04-04;0.09230626751592357
2008-04-05;-0.033302331606217615
2008-04-06;-0.03427772727272727
2008-04-07;0.11449500000000001
2008-04-08;0.11684253759398497
2008-04-09;0.09874464285714286
2008-04-10;0.09003131269079809
2008-04-11;0.0864657399606852
2008-04-12;-0.04623521126760564
2008-04-13;-0.04356008316008316
2008-04-14;0.10722640555906507
2008-04-15;0.1031765239197531
2008-04-16;0.10037183531339615
2008-04-17;0.10376294105218678
2008-04-18;0.09290960735171261
2008-04-19;-0.03667067307692308
2008-04-20;-0.05656731141199226
2008-04-21;0.11289987745098039
2008-04-22;0.10188453531598514
2008-04-23;0.10638603550295858
2008-04-24;0.10920005475451725
2008-04-25;0.0889411294619073
2008-04-26;-0.0515458432304038
2008-04-27;-0.02001314031180401
2008-04-28;0.10902650455927052
2008-04-29;0.10816857449472365
2008-04-30;0.10144731750219876
2008-05-01;0.10727431436758084
2008-05-02;0.09239634042553191
2008-05-03;-0.04855031712473573
2008-05-04;-0.021981606765327694
2008-05-05;0.11354494773519164
2008-05-06;0.1120203760621949
2008-05-07;0.10995551872074882
2008-05-08;0.09841111736032995
2008-05-09;0.08177538091419406
2008-05-10;-0.02641014198782961
2008-05-11;-0.041066244725738395
2008-05-12;0.08661588429332658
2008-05-13;0.10476782234307727
2008-05-14;0.09959176829268292
2008-05-15;0.09540465631929046
2008-05-16;0.0735470926301555
2008-05-17;-0.012461233480176212
